name,institution,count_reviews,rating_mean
Claves para Gestionar Personas,IESE Business School,1656,4.88
English for Journalism,University of Pennsylvania,1646,4.83
How Things Work: An Introduction to Physics,University of Virginia,1690,4.85
Business English: Networking,University of Washington,1437,4.88
Summary Statistics in Public Health,Johns Hopkins University,639,4.79
Global Energy and Climate Policy,University of London,215,4.67
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,375,4.97
Probability and Statistics: To p or not to p?,University of London,840,4.68
Gut Check: Exploring Your Microbiome,University of Colorado Boulder,653,4.79
Econometrics: Methods and Applications,Erasmus University Rotterdam,524,4.53
Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology,278,4.72
Mastering Data Analysis in Excel,Duke University,2277,3.84
Basic Statistics,University of Amsterdam,2401,4.62
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,3837,4.5
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,252,4.58
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,537,4.75
Data Analytics for Lean Six Sigma,University of Amsterdam,1929,4.88
Refugees in the 21st Century,University of London,136,4.76
Building Containerized Applications on AWS,Amazon Web Services,112,4.41
Business Transformation with Google Cloud,Google Cloud,485,4.83
Version Control with Git,Atlassian,1347,4.74
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),499,4.74
Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,1782,4.72
Introduction to Public Speaking,University of Washington,1140,4.83
Building Conversational Experiences with Dialogflow,Google Cloud,615,4.24
Guitar for Beginners,Berklee College of Music,1534,4.76
Managing Project Risks and Changes,"University of California, Irvine",2361,4.78
L'excellence opérationnelle en pratique,ESSEC Business School,246,4.68
Introduction to Cloud Computing,IBM,225,4.91
Sample-based Learning Methods,Alberta Machine Intelligence Institute,443,4.48
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,4189,4.73
Introduction to Blockchain Technologies,INSEAD,906,4.71
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,1473,4.86
"Cameras, Exposure, and Photography",Michigan State University,3065,4.74
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,1254,4.86
Dentistry 101,University of Michigan,96,4.84
"Python Functions, Files, and Dictionaries",University of Michigan,1595,4.81
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,1095,4.88
Positive Psychology: Applications and Interventions,University of Pennsylvania,1098,4.86
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,321,4.32
Personal & Family Financial Planning,University of Florida,1080,4.58
A Law Student's Toolkit,Yale University,783,4.7
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,6273,4.72
"Cybersecurity Roles, Processes & Operating System Security",IBM,976,4.51
Computational Neuroscience,University of Washington,490,4.6
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,660,4.63
Getting Started with Go,"University of California, Irvine",902,4.4
Introduction to Economic Theories,Erasmus University Rotterdam,122,4.15
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",732,4.66
Introduction to Personal Branding,University of Virginia,5152,4.49
Love as a Force for Social Justice,Stanford University,151,4.58
Mathematical Thinking in Computer Science,University of California San Diego,1047,4.27
Introduction to Genetics and Evolution,Duke University,723,4.83
Основы программирования на Python,National Research University Higher School of Economics,1344,4.19
Improving Communication Skills,University of Pennsylvania,1032,4.69
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,368,3.4
Python Programming: A Concise Introduction,Wesleyan University,3003,4.62
"The Modern World, Part Two: Global History since 1910",University of Virginia,770,4.88
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,933,4.81
Excel Fundamentals for Data Analysis,Macquarie University,291,4.59
Finanzas personales,Universidad Nacional Autónoma de México,6366,4.81
English Composition I,Duke University,489,4.53
Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,33,4.27
Introduction to Self-Driving Cars,University of Toronto,928,4.66
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,324,4.84
Blockchain Basics,University at Buffalo,3333,4.5
Foundations of Business Strategy,University of Virginia,1336,4.82
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,3249,4.84
Stochastic processes,National Research University Higher School of Economics,245,4.2
