title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
Humanitarian Response to Conflict and Disaster,119891,Self-paced on your time,Harvard University,"['Jennifer Leaning', 'Michael VanRooyen']",Introductory,Health & Safety,English,['English'],3–4 hours per week,5 Weeks,99
"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,"['Laurel Thatcher Ulrich', 'Jane Kamensky']",Introductory,History,English,['English'],2–3 hours per week,8 Weeks,99
Masterpieces of World Literature,88789,Self-paced on your time,Harvard University,"['David Damrosch', 'Martin Puchner']",Introductory,Literature,English,['English'],5–7 hours per week,12 Weeks,149
SQL for Data Science,39184,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Data Analysis & Statistics,English,['English'],2–4 hours per week,4 Weeks,39
El cerebro y las emociones en el lenguaje,41279,Self-paced on your time,Universidad del Rosario,"['Ángela Martínez Rodríguez', 'Janeth Hernández Jaramillo']",Introductory,Communication,Español,['Español'],4–5 hours per week,5 Weeks,49
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced on your time,Harvard University,"['Michael Brenner', 'David Weitz', 'Pia Sörensen']",Introductory,Physics,English,['English'],2–3 hours per week,16 Weeks,169
Python: aprender a programar,21613,Self-paced on your time,Universitat Politècnica de Valencia,['Leonardo Salom Muñoz'],Introductory,Computer Science,Español,['Español'],3–4 hours per week,8 Weeks,49
Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced on your time,"University of California, Berkeley",['Stephan Sorger'],Intermediate,Computer Science,English,['English'],5–7 hours per week,4 Weeks,249
MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced on your time,Harvard University,"['Marcia Castro', 'Flaminia Catteruccia', 'Michael R. Reich', 'Marcel Tanner']",Intermediate,Biology & Life Sciences,English,"['English', 'Français']",3–5 hours per week,8 Weeks,49
Entrepreneurship in Emerging Economies,113602,Self-paced on your time,Harvard University,['Tarun Khanna'],Introductory,Business & Management,English,['English'],3–5 hours per week,6 Weeks,125
JavaScript Introduction,160112,Self-paced on your time,The World Wide Web Consortium (W3C),['Michel Buffa'],Introductory,Computer Science,English,['English'],6–8 hours per week,5 Weeks,199
People Management,113592,Self-paced on your time,Indian Institute of Management Bangalore,['Vasanthi Srinivasan'],Introductory,Business & Management,English,"['English', 'हिन्दी']",2–4 hours per week,6 Weeks,150
Using Email for Networking in English,57208,Self-paced on your time,University of Washington,"['Daphne Mackey', 'Richard Moore']",Introductory,Language,English,['English'],3–5 hours per week,4 Weeks,149
Databases: Relational Databases and SQL,20502,Self-paced on your time,Stanford University,['Jennifer Widom'],Introductory,Computer Science,English,['English'],8–10 hours per week,2 Weeks,50
C Programming: Getting Started,104108,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,"['Petra Bonfert', 'Taylor', 'Rémi Sharrock']",Introductory,Computer Science,English,['English'],2–4 hours per week,7 Weeks,49
Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,['Chris Caplice'],Introductory,Business & Management,English,['English'],8–12 hours per week,15 Weeks,199
Programming for the Web with JavaScript,91406,Self-paced on your time,University of Pennsylvania,"['Chris Murphy', 'Swapneel Sheth']",Intermediate,Computer Science,English,['English'],6–8 hours per week,4 Weeks,149
Introduction to Digital Humanities,37501,Self-paced on your time,Harvard University,['Peter K. Bol'],Introductory,Humanities,English,['English'],2–4 hours per week,7 Weeks,99
Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Politècnica de Valencia,['Prof. Ana Gimeno'],Intermediate,Language,English,['English'],3–5 hours per week,4 Weeks,50
EmSAT English Preparation - Level 1,29101,Self-paced on your time,United Arab Emirates University,['Derek Justin Brown'],Introductory,Language,English,['English'],2–3 hours per week,6 Weeks,49
Python for Data Science,266978,Self-paced on your time,"The University of California, San Diego","['Ilkay Altintas', 'Leo Porter']",Advanced,Data Analysis & Statistics,English,['English'],8–10 hours per week,10 Weeks,350
Empathy and Emotional Intelligence at Work,45867,Self-paced on your time,"University of California, Berkeley","['Dacher Keltner', 'Emiliana Simon', 'Thomas']",Introductory,Business & Management,English,['English'],1–2 hours per week,4 Weeks,199
Design Thinking and Creativity for Innovation,47549,Self-paced on your time,The University of Queensland,['Tim Kastelle'],Intermediate,Business & Management,English,['English'],8–10 hours per week,10 Weeks,5
China and Communism,69104,Self-paced on your time,Harvard University,"['Peter K. Bol', 'William C. Kirby']",Introductory,History,English,"['English', '中文']",1–3 hours per week,15 Weeks,139
Mandarin Chinese Level 1,56040,Self-paced on your time,MandarinX,['Estella Chen'],Introductory,Language,English,['English'],4–10 hours per week,6 Weeks,149
Introduction to Biology - The Secret of Life,147512,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['Eric S. Lander', 'Michelle Mischke', 'Graham Walker', 'Brian White']",Introductory,Biology & Life Sciences,English,"['English', '中文']",5–10 hours per week,16 Weeks,150
Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced on your time,Pontificia Universidad Javeriana,['Juan Carlos Alonso Rico'],Introductory,Art & Culture,Español,['Español'],8–10 hours per week,5 Weeks,19
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced on your time,Harvard University,['Miguel Hernán'],Introductory,Data Analysis & Statistics,English,['English'],2–3 hours per week,9 Weeks,99
生活英语听说 | Conversational English Skills,301585,Self-paced on your time,Tsinghua University,"['Wenxia Zhang', 'Fang Yang', 'Glenn M. Davis', 'Thomas H. Piachaud']",Introductory,Communication,English,['English'],2–4 hours per week,10 Weeks,49
Shakespeare’s Othello: The Moor,31868,Self-paced on your time,Harvard University,"['Stephen Greenblatt', 'Bailey Sincox']",Introductory,Humanities,English,['English'],5–7 hours per week,4 Weeks,49
